"","year","tot_n"
"1",1980,12928112
"2",1981,4830980
"3",1982,2286756
"4",1983,516877
"5",1984,1272501
"6",1988,2894480
"7",1989,10672607
"8",1990,16609286
"9",1991,12924102
"10",1992,15265865
"11",1993,7236054
"12",1994,3351639
"13",1995,1881525
"14",1996,734303
"15",2005,443977
"16",2006,926103
"17",2007,927164
"18",2008,830369
"19",2009,485963
"20",2013,1445768
"21",2014,7522844
"22",2015,10856418
"23",2017,1340394
"24",2018,1381008
"25",2020,873652
"26",2021,783953
"27",2022,1270302
"28",2023,1218457
"29",2024,3725484
