"","year","tot_n"
"1",1991,49951488
"2",1992,58018473
"3",1993,26029053
"4",1994,13087705
"5",1995,9600061
"6",1996,4604440
"7",1997,3860602
"8",1998,1556392
"9",1999,448049
"10",2000,735202
"11",2001,1252206
"12",2002,490827
"13",2003,253388
"14",2004,497197
"15",2005,3247734
"16",2006,5094225
"17",2007,7464049
"18",2008,4197856
"19",2009,3832577
"20",2010,2717438
"21",2011,3654115
"22",2012,2844175
"23",2013,6030059
"24",2014,23630701
"25",2015,27417065
"26",2016,5152319
"27",2017,4204687
"28",2018,4270314
"29",2019,2009179
"30",2020,3147545
"31",2021,1750925
"32",2022,2609516
"33",2023,1728275
"34",2024,4940671
