"","year","tot_n"
"1",1980,12928112
"2",1981,4830980
"3",1982,2286756
"4",1983,516877
"5",1984,1272501
"6",1988,2894480
"7",1989,10672607
"8",1990,16609286
"9",1991,12924102
"10",1992,15265865
"11",1993,7236054
"12",1994,3351639
"13",1995,1881525
"14",1996,734303
"15",2004,0
"16",2005,443977
"17",2006,926103
"18",2007,927164
"19",2008,830369
"20",2009,485963
"21",2010,1689
"22",2011,3095
"23",2012,1647
"24",2013,1445768
"25",2014,7522844
"26",2015,10856418
"27",2016,1733
"28",2017,1340369
"29",2018,1380990
"30",2019,125
"31",2020,873651
"32",2021,783953
"33",2022,1270302
"34",2023,1218453
"35",2024,3725482
