fishery,area,year,sex,maturity,shell condition,abundance,biomass (kg)
RKF,all EBS,1990,female,undetermined,new shell,13444,3093
RKF,all EBS,1991,female,undetermined,new shell,30804,8758
RKF,all EBS,1992,female,undetermined,new shell,13081,3776
RKF,all EBS,1993,female,undetermined,new shell,28926,8033
RKF,all EBS,1996,female,undetermined,new shell,0,0
RKF,all EBS,1997,female,undetermined,new shell,2372,603
RKF,all EBS,1998,female,undetermined,new shell,3651,985
RKF,all EBS,1999,female,undetermined,new shell,3398,649
RKF,all EBS,2000,female,undetermined,new shell,3092,781
RKF,all EBS,2001,female,undetermined,new shell,2116,508
RKF,all EBS,2002,female,undetermined,new shell,2285,489
RKF,all EBS,2003,female,undetermined,new shell,4232,986
RKF,all EBS,2004,female,undetermined,new shell,3198,718
RKF,all EBS,2005,female,undetermined,new shell,2386,496
RKF,all EBS,2006,female,undetermined,new shell,2779,943
RKF,all EBS,2007,female,undetermined,new shell,2020,563
RKF,all EBS,2008,female,undetermined,new shell,3330,927
RKF,all EBS,2009,female,undetermined,new shell,1033,228
RKF,all EBS,2010,female,undetermined,new shell,626,166
RKF,all EBS,2011,female,undetermined,new shell,130,34
RKF,all EBS,2012,female,undetermined,new shell,3929,1232
RKF,all EBS,2013,female,undetermined,new shell,3106,901
RKF,all EBS,2014,female,undetermined,new shell,2442,610
RKF,all EBS,2015,female,undetermined,new shell,13904,3648
RKF,all EBS,2016,female,undetermined,new shell,9224,2014
RKF,all EBS,2017,female,undetermined,new shell,3245,841
RKF,all EBS,2018,female,undetermined,new shell,205,89
RKF,all EBS,2019,female,undetermined,new shell,118,14
RKF,all EBS,2020,female,undetermined,new shell,269,59
RKF,all EBS,2021,female,undetermined,new shell,0,0
RKF,all EBS,2022,female,undetermined,new shell,0,0
RKF,all EBS,2023,female,undetermined,new shell,496,117
RKF,all EBS,2024,female,undetermined,new shell,81,24
RKF,all EBS,1990,female,undetermined,old shell,131075,32551
RKF,all EBS,1991,female,undetermined,old shell,63732,18427
RKF,all EBS,1992,female,undetermined,old shell,63226,15264
RKF,all EBS,1993,female,undetermined,old shell,538207,141264
RKF,all EBS,1996,female,undetermined,old shell,9176,2423
RKF,all EBS,1997,female,undetermined,old shell,4112,1061
RKF,all EBS,1998,female,undetermined,old shell,2921,670
RKF,all EBS,1999,female,undetermined,old shell,5097,1595
RKF,all EBS,2000,female,undetermined,old shell,2474,577
RKF,all EBS,2001,female,undetermined,old shell,1814,455
RKF,all EBS,2002,female,undetermined,old shell,4266,1091
RKF,all EBS,2003,female,undetermined,old shell,3128,861
RKF,all EBS,2004,female,undetermined,old shell,4087,932
RKF,all EBS,2005,female,undetermined,old shell,2254,495
RKF,all EBS,2006,female,undetermined,old shell,1516,538
RKF,all EBS,2007,female,undetermined,old shell,3386,859
RKF,all EBS,2008,female,undetermined,old shell,5828,1614
RKF,all EBS,2009,female,undetermined,old shell,3221,911
RKF,all EBS,2010,female,undetermined,old shell,1323,387
RKF,all EBS,2011,female,undetermined,old shell,130,38
RKF,all EBS,2012,female,undetermined,old shell,262,82
RKF,all EBS,2013,female,undetermined,old shell,1228,364
RKF,all EBS,2014,female,undetermined,old shell,1221,387
RKF,all EBS,2015,female,undetermined,old shell,8013,1933
RKF,all EBS,2016,female,undetermined,old shell,10507,2208
RKF,all EBS,2017,female,undetermined,old shell,2021,592
RKF,all EBS,2018,female,undetermined,old shell,205,42
RKF,all EBS,2019,female,undetermined,old shell,59,14
RKF,all EBS,2020,female,undetermined,old shell,0,0
RKF,all EBS,2021,female,undetermined,old shell,0,0
RKF,all EBS,2022,female,undetermined,old shell,0,0
RKF,all EBS,2023,female,undetermined,old shell,110,33
RKF,all EBS,2024,female,undetermined,old shell,81,27
RKF,all EBS,1990,male,undetermined,new shell,3154040,3482579
RKF,all EBS,1991,male,undetermined,new shell,1722153,1782865
RKF,all EBS,1992,male,undetermined,new shell,1187161,1109470
RKF,all EBS,1993,male,undetermined,new shell,2948584,2814399
RKF,all EBS,1996,male,undetermined,new shell,93067,86025
RKF,all EBS,1997,male,undetermined,new shell,39873,33834
RKF,all EBS,1998,male,undetermined,new shell,60202,45202
RKF,all EBS,1999,male,undetermined,new shell,93308,61028
RKF,all EBS,2000,male,undetermined,new shell,83338,60038
RKF,all EBS,2001,male,undetermined,new shell,44945,35433
RKF,all EBS,2002,male,undetermined,new shell,47241,37385
RKF,all EBS,2003,male,undetermined,new shell,44734,28657
RKF,all EBS,2004,male,undetermined,new shell,37387,24466
RKF,all EBS,2005,male,undetermined,new shell,39814,27798
RKF,all EBS,2006,male,undetermined,new shell,27840,19693
RKF,all EBS,2007,male,undetermined,new shell,49863,38781
RKF,all EBS,2008,male,undetermined,new shell,236648,239503
RKF,all EBS,2009,male,undetermined,new shell,146695,165674
RKF,all EBS,2010,male,undetermined,new shell,27564,22313
RKF,all EBS,2011,male,undetermined,new shell,17901,15441
RKF,all EBS,2012,male,undetermined,new shell,44081,34678
RKF,all EBS,2013,male,undetermined,new shell,139637,122633
RKF,all EBS,2014,male,undetermined,new shell,316590,282153
RKF,all EBS,2015,male,undetermined,new shell,204087,162922
RKF,all EBS,2016,male,undetermined,new shell,170444,117772
RKF,all EBS,2017,male,undetermined,new shell,139853,113315
RKF,all EBS,2018,male,undetermined,new shell,43522,36435
RKF,all EBS,2019,male,undetermined,new shell,7030,5715
RKF,all EBS,2020,male,undetermined,new shell,940,482
RKF,all EBS,2021,male,undetermined,new shell,59,33
RKF,all EBS,2022,male,undetermined,new shell,30,27
RKF,all EBS,2023,male,undetermined,new shell,11564,8527
RKF,all EBS,2024,male,undetermined,new shell,4138,3108
RKF,all EBS,1990,male,undetermined,old shell,316283,239830
RKF,all EBS,1991,male,undetermined,old shell,232142,187417
RKF,all EBS,1992,male,undetermined,old shell,287644,207220
RKF,all EBS,1993,male,undetermined,old shell,455123,316421
RKF,all EBS,1996,male,undetermined,old shell,165705,183952
RKF,all EBS,1997,male,undetermined,old shell,123748,126303
RKF,all EBS,1998,male,undetermined,old shell,71612,70014
RKF,all EBS,1999,male,undetermined,old shell,17977,14065
RKF,all EBS,2000,male,undetermined,old shell,10205,6359
RKF,all EBS,2001,male,undetermined,old shell,11161,6767
RKF,all EBS,2002,male,undetermined,old shell,35993,23868
RKF,all EBS,2003,male,undetermined,old shell,36601,26280
RKF,all EBS,2004,male,undetermined,old shell,40017,25295
RKF,all EBS,2005,male,undetermined,old shell,22014,13618
RKF,all EBS,2006,male,undetermined,old shell,17606,9822
RKF,all EBS,2007,male,undetermined,old shell,31351,21776
RKF,all EBS,2008,male,undetermined,old shell,51627,40398
RKF,all EBS,2009,male,undetermined,old shell,28716,20832
RKF,all EBS,2010,male,undetermined,old shell,12947,9607
RKF,all EBS,2011,male,undetermined,old shell,3125,2029
RKF,all EBS,2012,male,undetermined,old shell,9971,7435
RKF,all EBS,2013,male,undetermined,old shell,8420,6309
RKF,all EBS,2014,male,undetermined,old shell,28872,23256
RKF,all EBS,2015,male,undetermined,old shell,52200,42036
RKF,all EBS,2016,male,undetermined,old shell,81891,57920
RKF,all EBS,2017,male,undetermined,old shell,91725,70240
RKF,all EBS,2018,male,undetermined,old shell,44136,37582
RKF,all EBS,2019,male,undetermined,old shell,14060,12250
RKF,all EBS,2020,male,undetermined,old shell,6981,5781
RKF,all EBS,2021,male,undetermined,old shell,59,33
RKF,all EBS,2022,male,undetermined,old shell,30,18
RKF,all EBS,2023,male,undetermined,old shell,1267,781
RKF,all EBS,2024,male,undetermined,old shell,3327,2291
TCF,East 166W,1991,female,undetermined,new shell,2736188,678769
TCF,East 166W,1992,female,undetermined,new shell,350033,92266
TCF,East 166W,1993,female,undetermined,new shell,435929,107134
TCF,East 166W,1994,female,undetermined,new shell,336763,78081
TCF,East 166W,1995,female,undetermined,new shell,549543,109518
TCF,East 166W,1996,female,undetermined,new shell,1416,289
TCF,East 166W,2006,female,undetermined,new shell,98979,25726
TCF,East 166W,2007,female,undetermined,new shell,72294,16782
TCF,East 166W,2008,female,undetermined,new shell,21390,4993
TCF,East 166W,2009,female,undetermined,new shell,1671,475
TCF,East 166W,2013,female,undetermined,new shell,19835,5923
TCF,East 166W,2014,female,undetermined,new shell,18906,4705
TCF,East 166W,2015,female,undetermined,new shell,39748,8606
TCF,East 166W,2022,female,undetermined,new shell,7139,1449
TCF,East 166W,2023,female,undetermined,new shell,1045,304
TCF,East 166W,2024,female,undetermined,new shell,23185,4414
TCF,East 166W,1991,female,undetermined,old shell,2875657,766452
TCF,East 166W,1992,female,undetermined,old shell,4894813,1011732
TCF,East 166W,1993,female,undetermined,old shell,2993595,753005
TCF,East 166W,1994,female,undetermined,old shell,2939320,651192
TCF,East 166W,1995,female,undetermined,old shell,3508195,814678
TCF,East 166W,1996,female,undetermined,old shell,236444,56388
TCF,East 166W,2006,female,undetermined,old shell,88497,23106
TCF,East 166W,2007,female,undetermined,old shell,49307,12515
TCF,East 166W,2008,female,undetermined,old shell,6704,1666
TCF,East 166W,2009,female,undetermined,old shell,6800,1795
TCF,East 166W,2013,female,undetermined,old shell,22669,6183
TCF,East 166W,2014,female,undetermined,old shell,17756,4062
TCF,East 166W,2015,female,undetermined,old shell,79829,19615
TCF,East 166W,2022,female,undetermined,old shell,30341,6336
TCF,East 166W,2023,female,undetermined,old shell,7381,1764
TCF,East 166W,2024,female,undetermined,old shell,25761,5438
TCF,East 166W,1991,male,undetermined,new shell,22724201,17529168
TCF,East 166W,1992,male,undetermined,new shell,35003863,26165153
TCF,East 166W,1993,male,undetermined,new shell,11274844,8845027
TCF,East 166W,1994,male,undetermined,new shell,7594251,5963320
TCF,East 166W,1995,male,undetermined,new shell,1883551,1372751
TCF,East 166W,1996,male,undetermined,new shell,62817,38958
TCF,East 166W,2006,male,undetermined,new shell,945199,668239
TCF,East 166W,2007,male,undetermined,new shell,2253583,1457172
TCF,East 166W,2008,male,undetermined,new shell,1233186,1063950
TCF,East 166W,2009,male,undetermined,new shell,581107,633366
TCF,East 166W,2013,male,undetermined,new shell,760423,632207
TCF,East 166W,2014,male,undetermined,new shell,6747196,4726821
TCF,East 166W,2015,male,undetermined,new shell,9385558,6186342
TCF,East 166W,2022,male,undetermined,new shell,1059252,632250
TCF,East 166W,2023,male,undetermined,new shell,480622,364630
TCF,East 166W,2024,male,undetermined,new shell,627472,471158
TCF,East 166W,1991,male,undetermined,old shell,3067324,2067512
TCF,East 166W,1992,male,undetermined,old shell,5381075,3495253
TCF,East 166W,1993,male,undetermined,old shell,2162707,1364927
TCF,East 166W,1994,male,undetermined,old shell,1313209,994806
TCF,East 166W,1995,male,undetermined,old shell,4200412,3042464
TCF,East 166W,1996,male,undetermined,old shell,264728,189655
TCF,East 166W,2006,male,undetermined,old shell,558209,463906
TCF,East 166W,2007,male,undetermined,old shell,427699,321932
TCF,East 166W,2008,male,undetermined,old shell,144732,113832
TCF,East 166W,2009,male,undetermined,old shell,41477,31220
TCF,East 166W,2013,male,undetermined,old shell,138184,114006
TCF,East 166W,2014,male,undetermined,old shell,823114,579768
TCF,East 166W,2015,male,undetermined,old shell,878618,575094
TCF,East 166W,2022,male,undetermined,old shell,269795,161886
TCF,East 166W,2023,male,undetermined,old shell,74726,51405
TCF,East 166W,2024,male,undetermined,old shell,294454,216708
TCF,West 166W,1991,female,undetermined,new shell,714828,150659
TCF,West 166W,1992,female,undetermined,new shell,208712,43140
TCF,West 166W,1993,female,undetermined,new shell,30681,6695
TCF,West 166W,1994,female,undetermined,new shell,53205,11221
TCF,West 166W,1995,female,undetermined,new shell,230126,47186
TCF,West 166W,2005,female,undetermined,new shell,7524,1601
TCF,West 166W,2006,female,undetermined,new shell,99180,21690
TCF,West 166W,2007,female,undetermined,new shell,8019,1689
