fishery,area,year,sex,maturity,shell condition,ss
RKF,all EBS,1990,female,undetermined,new shell,4
RKF,all EBS,1990,female,undetermined,old shell,39
RKF,all EBS,1990,female,undetermined,undetermined,1
RKF,all EBS,1990,male,undetermined,new shell,1436
RKF,all EBS,1990,male,undetermined,old shell,144
RKF,all EBS,1990,male,undetermined,undetermined,50
RKF,all EBS,1991,female,undetermined,new shell,29
RKF,all EBS,1991,female,undetermined,old shell,60
RKF,all EBS,1991,female,undetermined,undetermined,4
RKF,all EBS,1991,male,undetermined,new shell,2003
RKF,all EBS,1991,male,undetermined,old shell,270
RKF,all EBS,1991,male,undetermined,undetermined,19
RKF,all EBS,1992,female,undetermined,new shell,18
RKF,all EBS,1992,female,undetermined,old shell,87
RKF,all EBS,1992,male,undetermined,new shell,1655
RKF,all EBS,1992,male,undetermined,old shell,401
RKF,all EBS,1992,male,undetermined,undetermined,2
RKF,all EBS,1993,female,undetermined,new shell,61
RKF,all EBS,1993,female,undetermined,old shell,1135
RKF,all EBS,1993,male,undetermined,new shell,6375
RKF,all EBS,1993,male,undetermined,old shell,984
RKF,all EBS,1993,male,undetermined,undetermined,1
RKF,all EBS,1996,female,undetermined,old shell,5
RKF,all EBS,1996,male,undetermined,new shell,41
RKF,all EBS,1996,male,undetermined,old shell,73
RKF,all EBS,1997,female,undetermined,new shell,15
RKF,all EBS,1997,female,undetermined,old shell,26
RKF,all EBS,1997,male,undetermined,new shell,251
RKF,all EBS,1997,male,undetermined,old shell,779
RKF,all EBS,1997,male,undetermined,undetermined,33
RKF,all EBS,1998,female,undetermined,new shell,10
RKF,all EBS,1998,female,undetermined,old shell,10
RKF,all EBS,1998,male,undetermined,new shell,218
RKF,all EBS,1998,male,undetermined,old shell,239
RKF,all EBS,1998,male,undetermined,undetermined,2
RKF,all EBS,1999,female,undetermined,new shell,7
RKF,all EBS,1999,female,undetermined,old shell,7
RKF,all EBS,1999,male,undetermined,new shell,178
RKF,all EBS,1999,male,undetermined,old shell,29
RKF,all EBS,2000,female,undetermined,new shell,28
RKF,all EBS,2000,female,undetermined,old shell,16
RKF,all EBS,2000,male,undetermined,new shell,750
RKF,all EBS,2000,male,undetermined,old shell,95
RKF,all EBS,2001,female,undetermined,new shell,19
RKF,all EBS,2001,female,undetermined,old shell,20
RKF,all EBS,2001,female,undetermined,undetermined,1
RKF,all EBS,2001,male,undetermined,new shell,366
RKF,all EBS,2001,male,undetermined,old shell,90
RKF,all EBS,2002,female,undetermined,new shell,19
RKF,all EBS,2002,female,undetermined,old shell,31
RKF,all EBS,2002,female,undetermined,undetermined,1
RKF,all EBS,2002,male,undetermined,new shell,443
RKF,all EBS,2002,male,undetermined,old shell,307
RKF,all EBS,2002,male,undetermined,undetermined,4
RKF,all EBS,2003,female,undetermined,new shell,24
RKF,all EBS,2003,female,undetermined,old shell,22
RKF,all EBS,2003,male,undetermined,new shell,298
RKF,all EBS,2003,male,undetermined,old shell,257
RKF,all EBS,2004,female,undetermined,new shell,20
RKF,all EBS,2004,female,undetermined,old shell,24
RKF,all EBS,2004,male,undetermined,new shell,240
RKF,all EBS,2004,male,undetermined,old shell,247
RKF,all EBS,2005,female,undetermined,new shell,36
RKF,all EBS,2005,female,undetermined,old shell,34
RKF,all EBS,2005,male,undetermined,new shell,633
RKF,all EBS,2005,male,undetermined,old shell,350
RKF,all EBS,2005,male,undetermined,undetermined,2
RKF,all EBS,2006,female,undetermined,new shell,44
RKF,all EBS,2006,female,undetermined,old shell,24
RKF,all EBS,2006,male,undetermined,new shell,457
RKF,all EBS,2006,male,undetermined,old shell,289
RKF,all EBS,2006,male,undetermined,undetermined,6
RKF,all EBS,2007,female,undetermined,new shell,34
RKF,all EBS,2007,female,undetermined,old shell,57
RKF,all EBS,2007,male,undetermined,new shell,835
RKF,all EBS,2007,male,undetermined,old shell,525
RKF,all EBS,2007,male,undetermined,undetermined,4
RKF,all EBS,2008,female,undetermined,new shell,44
RKF,all EBS,2008,female,undetermined,old shell,77
RKF,all EBS,2008,male,undetermined,new shell,3117
RKF,all EBS,2008,male,undetermined,old shell,680
RKF,all EBS,2008,male,undetermined,undetermined,8
RKF,all EBS,2009,female,undetermined,new shell,17
RKF,all EBS,2009,female,undetermined,old shell,53
RKF,all EBS,2009,male,undetermined,new shell,2401
RKF,all EBS,2009,male,undetermined,old shell,470
RKF,all EBS,2009,male,undetermined,undetermined,15
RKF,all EBS,2009,undetermined,undetermined,new shell,1
RKF,all EBS,2010,female,undetermined,new shell,9
RKF,all EBS,2010,female,undetermined,old shell,19
RKF,all EBS,2010,male,undetermined,new shell,396
RKF,all EBS,2010,male,undetermined,old shell,186
RKF,all EBS,2011,female,undetermined,new shell,2
RKF,all EBS,2011,female,undetermined,old shell,2
RKF,all EBS,2011,male,undetermined,new shell,275
RKF,all EBS,2011,male,undetermined,old shell,48
RKF,all EBS,2011,male,undetermined,undetermined,1
RKF,all EBS,2012,female,undetermined,new shell,45
RKF,all EBS,2012,female,undetermined,old shell,3
RKF,all EBS,2012,male,undetermined,new shell,504
RKF,all EBS,2012,male,undetermined,old shell,114
RKF,all EBS,2013,female,undetermined,new shell,43
RKF,all EBS,2013,female,undetermined,old shell,18
RKF,all EBS,2013,female,undetermined,undetermined,1
RKF,all EBS,2013,male,undetermined,new shell,1990
RKF,all EBS,2013,male,undetermined,old shell,120
RKF,all EBS,2013,male,undetermined,undetermined,7
RKF,all EBS,2014,female,undetermined,new shell,22
RKF,all EBS,2014,female,undetermined,old shell,11
RKF,all EBS,2014,male,undetermined,new shell,2850
RKF,all EBS,2014,male,undetermined,old shell,260
RKF,all EBS,2014,male,undetermined,undetermined,2
RKF,all EBS,2015,female,undetermined,new shell,118
RKF,all EBS,2015,female,undetermined,old shell,68
RKF,all EBS,2015,male,undetermined,new shell,1732
RKF,all EBS,2015,male,undetermined,old shell,443
