fishery,area,year,sex,maturity,shell condition,ss
RKF,all EBS,2015,male,undetermined,undetermined,6
RKF,all EBS,2016,female,undetermined,new shell,115
RKF,all EBS,2016,female,undetermined,old shell,131
RKF,all EBS,2016,male,undetermined,new shell,2175
RKF,all EBS,2016,male,undetermined,old shell,1045
RKF,all EBS,2016,male,undetermined,undetermined,96
RKF,all EBS,2016,undetermined,undetermined,undetermined,1
RKF,all EBS,2017,female,undetermined,new shell,53
RKF,all EBS,2017,female,undetermined,old shell,33
RKF,all EBS,2017,male,undetermined,new shell,2284
RKF,all EBS,2017,male,undetermined,old shell,1498
RKF,all EBS,2017,male,undetermined,undetermined,61
RKF,all EBS,2018,female,undetermined,new shell,3
RKF,all EBS,2018,female,undetermined,old shell,3
RKF,all EBS,2018,male,undetermined,new shell,637
RKF,all EBS,2018,male,undetermined,old shell,646
RKF,all EBS,2018,male,undetermined,undetermined,4
RKF,all EBS,2019,female,undetermined,new shell,2
RKF,all EBS,2019,female,undetermined,old shell,1
RKF,all EBS,2019,male,undetermined,new shell,119
RKF,all EBS,2019,male,undetermined,old shell,238
RKF,all EBS,2019,male,undetermined,undetermined,2
RKF,all EBS,2019,undetermined,undetermined,new shell,1
RKF,all EBS,2020,female,undetermined,new shell,4
RKF,all EBS,2020,male,undetermined,new shell,14
RKF,all EBS,2020,male,undetermined,old shell,92
RKF,all EBS,2020,male,undetermined,undetermined,1
RKF,all EBS,2023,female,undetermined,new shell,9
RKF,all EBS,2023,female,undetermined,old shell,2
RKF,all EBS,2023,male,undetermined,new shell,210
RKF,all EBS,2023,male,undetermined,old shell,23
RKF,all EBS,2023,male,undetermined,undetermined,5
RKF,all EBS,2024,female,undetermined,new shell,1
RKF,all EBS,2024,female,undetermined,old shell,1
RKF,all EBS,2024,male,undetermined,new shell,51
RKF,all EBS,2024,male,undetermined,old shell,41
RKF,all EBS,2024,male,undetermined,undetermined,3
SCF,all EBS,1990,female,undetermined,new shell,240
SCF,all EBS,1990,female,undetermined,old shell,238
SCF,all EBS,1990,female,undetermined,undetermined,1
SCF,all EBS,1990,male,undetermined,new shell,13217
SCF,all EBS,1990,male,undetermined,old shell,816
SCF,all EBS,1990,male,undetermined,undetermined,50
SCF,all EBS,1991,female,undetermined,new shell,361
SCF,all EBS,1991,female,undetermined,old shell,325
SCF,all EBS,1991,male,undetermined,new shell,10556
SCF,all EBS,1991,male,undetermined,old shell,1162
SCF,all EBS,1991,male,undetermined,undetermined,9
SCF,all EBS,1992,female,undetermined,new shell,134
SCF,all EBS,1992,female,undetermined,old shell,725
SCF,all EBS,1992,male,undetermined,new shell,5070
SCF,all EBS,1992,male,undetermined,old shell,1210
SCF,all EBS,1992,male,undetermined,undetermined,4
SCF,all EBS,1993,female,undetermined,new shell,485
SCF,all EBS,1993,female,undetermined,old shell,1057
SCF,all EBS,1993,female,undetermined,undetermined,7
SCF,all EBS,1993,male,undetermined,new shell,6305
SCF,all EBS,1993,male,undetermined,old shell,664
SCF,all EBS,1993,male,undetermined,undetermined,5
SCF,all EBS,1994,female,undetermined,new shell,126
SCF,all EBS,1994,female,undetermined,old shell,1397
SCF,all EBS,1994,female,undetermined,undetermined,26
SCF,all EBS,1994,male,undetermined,new shell,2488
SCF,all EBS,1994,male,undetermined,old shell,494
SCF,all EBS,1994,male,undetermined,undetermined,190
SCF,all EBS,1995,female,undetermined,new shell,149
SCF,all EBS,1995,female,undetermined,old shell,279
SCF,all EBS,1995,female,undetermined,undetermined,1
SCF,all EBS,1995,male,undetermined,new shell,1441
SCF,all EBS,1995,male,undetermined,old shell,457
SCF,all EBS,1995,male,undetermined,undetermined,45
SCF,all EBS,1996,female,undetermined,new shell,76
SCF,all EBS,1996,female,undetermined,old shell,586
SCF,all EBS,1996,male,undetermined,new shell,2363
SCF,all EBS,1996,male,undetermined,old shell,902
SCF,all EBS,1996,male,undetermined,undetermined,4
SCF,all EBS,1997,female,undetermined,new shell,39
SCF,all EBS,1997,female,undetermined,old shell,618
SCF,all EBS,1997,male,undetermined,new shell,2381
SCF,all EBS,1997,male,undetermined,old shell,1589
SCF,all EBS,1997,male,undetermined,undetermined,23
SCF,all EBS,1998,female,undetermined,new shell,11
SCF,all EBS,1998,female,undetermined,old shell,313
SCF,all EBS,1998,male,undetermined,new shell,1334
SCF,all EBS,1998,male,undetermined,old shell,577
SCF,all EBS,1998,male,undetermined,undetermined,1
SCF,all EBS,1999,female,undetermined,new shell,16
SCF,all EBS,1999,female,undetermined,old shell,66
SCF,all EBS,1999,male,undetermined,new shell,862
SCF,all EBS,1999,male,undetermined,old shell,114
SCF,all EBS,2000,female,undetermined,new shell,20
SCF,all EBS,2000,female,undetermined,old shell,54
SCF,all EBS,2000,male,undetermined,new shell,1046
SCF,all EBS,2000,male,undetermined,old shell,191
SCF,all EBS,2001,female,undetermined,new shell,47
SCF,all EBS,2001,female,undetermined,old shell,113
SCF,all EBS,2001,male,undetermined,new shell,1952
SCF,all EBS,2001,male,undetermined,old shell,1161
SCF,all EBS,2001,male,undetermined,undetermined,2
SCF,all EBS,2002,female,undetermined,new shell,49
SCF,all EBS,2002,female,undetermined,old shell,69
SCF,all EBS,2002,female,undetermined,undetermined,1
SCF,all EBS,2002,male,undetermined,new shell,786
SCF,all EBS,2002,male,undetermined,old shell,198
SCF,all EBS,2003,female,undetermined,new shell,10
SCF,all EBS,2003,female,undetermined,old shell,142
SCF,all EBS,2003,male,undetermined,new shell,341
SCF,all EBS,2003,male,undetermined,old shell,347
SCF,all EBS,2004,female,undetermined,new shell,202
SCF,all EBS,2004,female,undetermined,old shell,505
SCF,all EBS,2004,male,undetermined,new shell,604
SCF,all EBS,2004,male,undetermined,old shell,229
SCF,all EBS,2005,female,undetermined,new shell,189
SCF,all EBS,2005,female,undetermined,old shell,179
SCF,all EBS,2005,male,undetermined,new shell,7970
SCF,all EBS,2005,male,undetermined,old shell,1837
SCF,all EBS,2005,male,undetermined,undetermined,15
SCF,all EBS,2006,female,undetermined,new shell,43
SCF,all EBS,2006,female,undetermined,old shell,1213
SCF,all EBS,2006,male,undetermined,new shell,4498
SCF,all EBS,2006,male,undetermined,old shell,5893
SCF,all EBS,2006,male,undetermined,undetermined,50
SCF,all EBS,2007,female,undetermined,new shell,200
SCF,all EBS,2007,female,undetermined,old shell,528
SCF,all EBS,2007,male,undetermined,new shell,10620
SCF,all EBS,2007,male,undetermined,old shell,3177
SCF,all EBS,2007,male,undetermined,undetermined,76
SCF,all EBS,2008,female,undetermined,new shell,116
SCF,all EBS,2008,female,undetermined,old shell,606
SCF,all EBS,2008,female,undetermined,undetermined,1
SCF,all EBS,2008,male,undetermined,new shell,6910
SCF,all EBS,2008,male,undetermined,old shell,1545
SCF,all EBS,2008,male,undetermined,undetermined,7
SCF,all EBS,2009,female,undetermined,new shell,72
SCF,all EBS,2009,female,undetermined,old shell,402
SCF,all EBS,2009,hermaphrodite,undetermined,new shell,1
SCF,all EBS,2009,hermaphrodite,undetermined,old shell,3
SCF,all EBS,2009,male,undetermined,new shell,8293
SCF,all EBS,2009,male,undetermined,old shell,2764
SCF,all EBS,2009,male,undetermined,undetermined,28
SCF,all EBS,2010,female,undetermined,new shell,31
SCF,all EBS,2010,female,undetermined,old shell,219
SCF,all EBS,2010,hermaphrodite,undetermined,old shell,1
SCF,all EBS,2010,male,undetermined,new shell,10334
SCF,all EBS,2010,male,undetermined,old shell,1739
SCF,all EBS,2010,male,undetermined,undetermined,4
SCF,all EBS,2011,female,undetermined,new shell,72
SCF,all EBS,2011,female,undetermined,old shell,117
SCF,all EBS,2011,hermaphrodite,undetermined,new shell,1
SCF,all EBS,2011,hermaphrodite,undetermined,old shell,1
SCF,all EBS,2011,male,undetermined,new shell,8218
SCF,all EBS,2011,male,undetermined,old shell,1235
SCF,all EBS,2011,male,undetermined,undetermined,3
SCF,all EBS,2012,female,undetermined,new shell,81
SCF,all EBS,2012,female,undetermined,old shell,189
SCF,all EBS,2012,hermaphrodite,undetermined,new shell,1
SCF,all EBS,2012,male,undetermined,new shell,8768
SCF,all EBS,2012,male,undetermined,old shell,2236
SCF,all EBS,2012,male,undetermined,undetermined,27
SCF,all EBS,2013,female,undetermined,new shell,87
SCF,all EBS,2013,female,undetermined,old shell,269
SCF,all EBS,2013,hermaphrodite,undetermined,new shell,1
SCF,all EBS,2013,hermaphrodite,undetermined,old shell,5
SCF,all EBS,2013,male,undetermined,new shell,11703
SCF,all EBS,2013,male,undetermined,old shell,1232
SCF,all EBS,2013,undetermined,undetermined,old shell,1
SCF,all EBS,2014,female,undetermined,new shell,199
SCF,all EBS,2014,female,undetermined,old shell,605
SCF,all EBS,2014,hermaphrodite,undetermined,old shell,7
SCF,all EBS,2014,male,undetermined,new shell,19356
SCF,all EBS,2014,male,undetermined,old shell,5523
SCF,all EBS,2014,male,undetermined,undetermined,1
SCF,all EBS,2015,female,undetermined,new shell,66
SCF,all EBS,2015,female,undetermined,old shell,166
SCF,all EBS,2015,female,undetermined,undetermined,2
SCF,all EBS,2015,hermaphrodite,undetermined,new shell,1
SCF,all EBS,2015,male,undetermined,new shell,17869
SCF,all EBS,2015,male,undetermined,old shell,1970
SCF,all EBS,2015,male,undetermined,undetermined,4
SCF,all EBS,2015,undetermined,undetermined,old shell,1
SCF,all EBS,2016,female,undetermined,new shell,96
SCF,all EBS,2016,female,undetermined,old shell,166
SCF,all EBS,2016,female,undetermined,undetermined,2
SCF,all EBS,2016,male,undetermined,new shell,10708
SCF,all EBS,2016,male,undetermined,old shell,5661
SCF,all EBS,2016,male,undetermined,undetermined,27
SCF,all EBS,2016,undetermined,undetermined,old shell,1
SCF,all EBS,2017,female,undetermined,new shell,19
SCF,all EBS,2017,female,undetermined,old shell,90
SCF,all EBS,2017,male,undetermined,new shell,3986
SCF,all EBS,2017,male,undetermined,old shell,1612
SCF,all EBS,2017,undetermined,undetermined,new shell,1
SCF,all EBS,2018,female,undetermined,new shell,7
SCF,all EBS,2018,female,undetermined,old shell,226
SCF,all EBS,2018,hermaphrodite,undetermined,old shell,2
SCF,all EBS,2018,male,undetermined,new shell,4477
SCF,all EBS,2018,male,undetermined,old shell,1668
SCF,all EBS,2018,male,undetermined,undetermined,10
SCF,all EBS,2019,female,undetermined,new shell,30
SCF,all EBS,2019,female,undetermined,old shell,393
SCF,all EBS,2019,female,undetermined,undetermined,23
SCF,all EBS,2019,hermaphrodite,undetermined,old shell,1
SCF,all EBS,2019,male,undetermined,new shell,5961
SCF,all EBS,2019,male,undetermined,old shell,2920
SCF,all EBS,2019,male,undetermined,undetermined,109
SCF,all EBS,2019,undetermined,undetermined,old shell,1
SCF,all EBS,2020,female,undetermined,new shell,5
SCF,all EBS,2020,female,undetermined,old shell,5
SCF,all EBS,2020,female,undetermined,undetermined,1
SCF,all EBS,2020,male,undetermined,new shell,624
SCF,all EBS,2020,male,undetermined,old shell,196
SCF,all EBS,2020,male,undetermined,undetermined,6
SCF,all EBS,2021,female,undetermined,new shell,7
SCF,all EBS,2021,female,undetermined,old shell,23
SCF,all EBS,2021,male,undetermined,new shell,525
SCF,all EBS,2021,male,undetermined,old shell,107
SCF,all EBS,2021,male,undetermined,undetermined,1
SCF,all EBS,2024,female,undetermined,new shell,13
SCF,all EBS,2024,female,undetermined,old shell,67
SCF,all EBS,2024,male,undetermined,new shell,559
SCF,all EBS,2024,male,undetermined,old shell,63
TCF,East 166W,1991,female,undetermined,new shell,1907
TCF,East 166W,1991,female,undetermined,old shell,2028
TCF,East 166W,1991,female,undetermined,undetermined,2
TCF,East 166W,1991,male,undetermined,new shell,19058
TCF,East 166W,1991,male,undetermined,old shell,2542
TCF,East 166W,1991,male,undetermined,undetermined,50
TCF,East 166W,1992,female,undetermined,new shell,373
TCF,East 166W,1992,female,undetermined,old shell,5334
TCF,East 166W,1992,male,undetermined,new shell,36587
TCF,East 166W,1992,male,undetermined,old shell,5673
TCF,East 166W,1992,male,undetermined,undetermined,3
TCF,East 166W,1993,female,undetermined,new shell,1197
TCF,East 166W,1993,female,undetermined,old shell,8220
TCF,East 166W,1993,male,undetermined,new shell,30258
TCF,East 166W,1993,male,undetermined,old shell,5804
TCF,East 166W,1993,male,undetermined,undetermined,3
TCF,East 166W,1994,female,undetermined,new shell,206
TCF,East 166W,1994,female,undetermined,old shell,1798
TCF,East 166W,1994,female,undetermined,undetermined,12
TCF,East 166W,1994,male,undetermined,new shell,4823
TCF,East 166W,1994,male,undetermined,old shell,834
TCF,East 166W,1994,male,undetermined,undetermined,129
TCF,East 166W,1995,female,undetermined,new shell,396
TCF,East 166W,1995,female,undetermined,old shell,2518
TCF,East 166W,1995,male,undetermined,new shell,1604
TCF,East 166W,1995,male,undetermined,old shell,3576
TCF,East 166W,1995,male,undetermined,undetermined,3
TCF,East 166W,1996,female,undetermined,new shell,1
TCF,East 166W,1996,female,undetermined,old shell,167
TCF,East 166W,1996,male,undetermined,new shell,42
TCF,East 166W,1996,male,undetermined,old shell,177
TCF,East 166W,1996,male,undetermined,undetermined,1
TCF,East 166W,2006,female,undetermined,new shell,830
TCF,East 166W,2006,female,undetermined,old shell,743
TCF,East 166W,2006,male,undetermined,new shell,7977
TCF,East 166W,2006,male,undetermined,old shell,4711
TCF,East 166W,2006,male,undetermined,undetermined,18
TCF,East 166W,2007,female,undetermined,new shell,1433
TCF,East 166W,2007,female,undetermined,old shell,982
TCF,East 166W,2007,female,undetermined,undetermined,1
TCF,East 166W,2007,male,undetermined,new shell,42899
TCF,East 166W,2007,male,undetermined,old shell,8206
TCF,East 166W,2007,male,undetermined,undetermined,421
TCF,East 166W,2008,female,undetermined,new shell,402
TCF,East 166W,2008,female,undetermined,old shell,126
TCF,East 166W,2008,female,undetermined,undetermined,8
TCF,East 166W,2008,male,undetermined,new shell,22689
TCF,East 166W,2008,male,undetermined,old shell,2663
TCF,East 166W,2008,male,undetermined,undetermined,216
TCF,East 166W,2009,female,undetermined,new shell,29
TCF,East 166W,2009,female,undetermined,old shell,118
TCF,East 166W,2009,male,undetermined,new shell,16137
TCF,East 166W,2009,male,undetermined,old shell,1152
TCF,East 166W,2009,male,undetermined,undetermined,4
TCF,East 166W,2013,female,undetermined,new shell,147
TCF,East 166W,2013,female,undetermined,old shell,167
TCF,East 166W,2013,hermaphrodite,undetermined,new shell,1
TCF,East 166W,2013,male,undetermined,new shell,6454
TCF,East 166W,2013,male,undetermined,old shell,1174
TCF,East 166W,2013,male,undetermined,undetermined,1
TCF,East 166W,2014,female,undetermined,new shell,148
TCF,East 166W,2014,female,undetermined,old shell,139
TCF,East 166W,2014,hermaphrodite,undetermined,new shell,1
TCF,East 166W,2014,male,undetermined,new shell,45650
TCF,East 166W,2014,male,undetermined,old shell,5569
TCF,East 166W,2014,male,undetermined,undetermined,4
TCF,East 166W,2015,female,undetermined,new shell,239
TCF,East 166W,2015,female,undetermined,old shell,475
TCF,East 166W,2015,hermaphrodite,undetermined,new shell,2
TCF,East 166W,2015,male,undetermined,new shell,56431
TCF,East 166W,2015,male,undetermined,old shell,5283
TCF,East 166W,2015,male,undetermined,undetermined,77
TCF,East 166W,2015,undetermined,undetermined,new shell,1
TCF,East 166W,2022,female,undetermined,new shell,72
TCF,East 166W,2022,female,undetermined,old shell,306
TCF,East 166W,2022,hermaphrodite,undetermined,new shell,1
TCF,East 166W,2022,male,undetermined,new shell,10683
TCF,East 166W,2022,male,undetermined,old shell,2721
TCF,East 166W,2022,male,undetermined,undetermined,53
TCF,East 166W,2023,female,undetermined,new shell,16
TCF,East 166W,2023,female,undetermined,old shell,113
TCF,East 166W,2023,female,undetermined,undetermined,5
TCF,East 166W,2023,male,undetermined,new shell,7358
TCF,East 166W,2023,male,undetermined,old shell,1144
TCF,East 166W,2023,male,undetermined,undetermined,5
TCF,East 166W,2024,female,undetermined,new shell,297
TCF,East 166W,2024,female,undetermined,old shell,330
TCF,East 166W,2024,male,undetermined,new shell,8038
TCF,East 166W,2024,male,undetermined,old shell,3772
TCF,East 166W,2024,male,undetermined,undetermined,16
TCF,West 166W,1991,female,undetermined,new shell,608
TCF,West 166W,1991,female,undetermined,old shell,1096
TCF,West 166W,1991,male,undetermined,new shell,8810
TCF,West 166W,1991,male,undetermined,old shell,893
TCF,West 166W,1991,male,undetermined,undetermined,3
TCF,West 166W,1992,female,undetermined,new shell,234
TCF,West 166W,1992,female,undetermined,old shell,2814
TCF,West 166W,1992,male,undetermined,new shell,10484
TCF,West 166W,1992,male,undetermined,old shell,2092
TCF,West 166W,1992,male,undetermined,undetermined,1
TCF,West 166W,1993,female,undetermined,new shell,51
TCF,West 166W,1993,female,undetermined,old shell,1003
TCF,West 166W,1993,male,undetermined,new shell,3764
TCF,West 166W,1993,male,undetermined,old shell,562
TCF,West 166W,1994,female,undetermined,new shell,12
TCF,West 166W,1994,female,undetermined,old shell,116
TCF,West 166W,1994,male,undetermined,new shell,126
TCF,West 166W,1994,male,undetermined,old shell,9
TCF,West 166W,1995,female,undetermined,new shell,69
TCF,West 166W,1995,female,undetermined,old shell,136
TCF,West 166W,1995,male,undetermined,new shell,148
TCF,West 166W,1995,male,undetermined,old shell,261
TCF,West 166W,1996,male,undetermined,new shell,5
TCF,West 166W,1996,male,undetermined,old shell,128
TCF,West 166W,2005,female,undetermined,new shell,74
TCF,West 166W,2005,female,undetermined,old shell,1033
TCF,West 166W,2005,female,undetermined,undetermined,1
TCF,West 166W,2005,male,undetermined,new shell,17220
TCF,West 166W,2005,male,undetermined,old shell,2495
TCF,West 166W,2005,male,undetermined,undetermined,47
TCF,West 166W,2006,female,undetermined,new shell,822
TCF,West 166W,2006,female,undetermined,old shell,2037
TCF,West 166W,2006,male,undetermined,new shell,6675
TCF,West 166W,2006,male,undetermined,old shell,4863
TCF,West 166W,2007,female,undetermined,new shell,101
TCF,West 166W,2007,female,undetermined,old shell,802
TCF,West 166W,2007,male,undetermined,new shell,9260
TCF,West 166W,2007,male,undetermined,old shell,1181
TCF,West 166W,2007,male,undetermined,undetermined,7
TCF,West 166W,2008,female,undetermined,new shell,8
TCF,West 166W,2008,female,undetermined,old shell,110
TCF,West 166W,2008,male,undetermined,new shell,3262
TCF,West 166W,2008,male,undetermined,old shell,552
TCF,West 166W,2008,male,undetermined,undetermined,1
TCF,West 166W,2013,female,undetermined,new shell,150
TCF,West 166W,2013,female,undetermined,old shell,250
TCF,West 166W,2013,hermaphrodite,undetermined,new shell,2
TCF,West 166W,2013,hermaphrodite,undetermined,old shell,7
TCF,West 166W,2013,male,undetermined,new shell,8110
TCF,West 166W,2013,male,undetermined,old shell,1553
TCF,West 166W,2014,female,undetermined,new shell,280
TCF,West 166W,2014,female,undetermined,old shell,625
TCF,West 166W,2014,female,undetermined,undetermined,8
TCF,West 166W,2014,hermaphrodite,undetermined,old shell,12
TCF,West 166W,2014,male,undetermined,new shell,30204
TCF,West 166W,2014,male,undetermined,old shell,3699
TCF,West 166W,2014,male,undetermined,undetermined,554
TCF,West 166W,2015,female,undetermined,new shell,410
TCF,West 166W,2015,female,undetermined,old shell,502
TCF,West 166W,2015,female,undetermined,undetermined,1
TCF,West 166W,2015,hermaphrodite,undetermined,old shell,1
TCF,West 166W,2015,male,undetermined,new shell,53099
TCF,West 166W,2015,male,undetermined,old shell,5033
TCF,West 166W,2015,male,undetermined,undetermined,15
TCF,West 166W,2015,undetermined,undetermined,old shell,1
TCF,West 166W,2017,female,undetermined,new shell,229
TCF,West 166W,2017,female,undetermined,old shell,1492
TCF,West 166W,2017,female,undetermined,undetermined,5
TCF,West 166W,2017,male,undetermined,new shell,13137
TCF,West 166W,2017,male,undetermined,old shell,5648
TCF,West 166W,2017,male,undetermined,undetermined,46
TCF,West 166W,2017,undetermined,undetermined,old shell,1
TCF,West 166W,2018,female,undetermined,new shell,131
TCF,West 166W,2018,female,undetermined,old shell,1905
TCF,West 166W,2018,hermaphrodite,undetermined,old shell,4
TCF,West 166W,2018,male,undetermined,new shell,10423
TCF,West 166W,2018,male,undetermined,old shell,17915
TCF,West 166W,2018,male,undetermined,undetermined,23
TCF,West 166W,2020,female,undetermined,new shell,602
TCF,West 166W,2020,female,undetermined,old shell,452
TCF,West 166W,2020,female,undetermined,undetermined,40
TCF,West 166W,2020,male,undetermined,new shell,13093
TCF,West 166W,2020,male,undetermined,old shell,4546
TCF,West 166W,2020,male,undetermined,undetermined,374
TCF,West 166W,2021,female,undetermined,new shell,186
TCF,West 166W,2021,female,undetermined,old shell,822
TCF,West 166W,2021,male,undetermined,new shell,16681
TCF,West 166W,2021,male,undetermined,old shell,2533
TCF,West 166W,2021,male,undetermined,undetermined,6
TCF,West 166W,2022,female,undetermined,new shell,29
TCF,West 166W,2022,female,undetermined,old shell,361
TCF,West 166W,2022,female,undetermined,undetermined,1
TCF,West 166W,2022,male,undetermined,new shell,12651
TCF,West 166W,2022,male,undetermined,old shell,4582
TCF,West 166W,2022,male,undetermined,undetermined,62
TCF,West 166W,2023,female,undetermined,new shell,192
TCF,West 166W,2023,female,undetermined,old shell,245
TCF,West 166W,2023,male,undetermined,new shell,21127
TCF,West 166W,2023,male,undetermined,old shell,5007
TCF,West 166W,2023,male,undetermined,undetermined,22
TCF,West 166W,2024,female,undetermined,new shell,513
TCF,West 166W,2024,female,undetermined,old shell,1052
TCF,West 166W,2024,male,undetermined,new shell,31635
TCF,West 166W,2024,male,undetermined,old shell,7097
TCF,West 166W,2024,male,undetermined,undetermined,45
TCF,all EBS,1991,female,undetermined,new shell,2515
TCF,all EBS,1991,female,undetermined,old shell,3124
TCF,all EBS,1991,female,undetermined,undetermined,2
TCF,all EBS,1991,male,undetermined,new shell,27868
TCF,all EBS,1991,male,undetermined,old shell,3435
TCF,all EBS,1991,male,undetermined,undetermined,53
TCF,all EBS,1992,female,undetermined,new shell,607
TCF,all EBS,1992,female,undetermined,old shell,8148
TCF,all EBS,1992,male,undetermined,new shell,47071
