"","obs","preds","y_up","y_dn","year","stock"
"6",0.628925712288426,0.558084234501359,0.624592993903637,0.49157547509908,1980,"BBRKC"
"7",0.325649989871755,0.531287074403685,0.599783627100415,0.462790521706954,1981,"BBRKC"
"8",0.479291554795438,0.555904094138673,0.655687289252885,0.456120899024462,1982,"BBRKC"
"9",0.349583271010012,0.491003622138372,0.54635576728352,0.435651476993225,1983,"BBRKC"
"10",0.745172899232475,0.398491781823385,0.458006150204932,0.338977413441838,1984,"BBRKC"
"11",0.180169772669173,0.207880780696816,0.235960541358937,0.179801020034695,1985,"BBRKC"
"12",0.117992747305926,0.208333469250212,0.242087117361413,0.174579821139012,1986,"BBRKC"
"13",0.231391852142432,0.200247905770705,0.226521302102006,0.173974509439403,1987,"BBRKC"
"14",0.204188555526417,0.220855151672092,0.243315612698436,0.198394690645748,1988,"BBRKC"
"15",0.271190574342129,0.222016100891954,0.245248123811017,0.19878407797289,1989,"BBRKC"
"16",0.328243933071522,0.204331196806017,0.224979641011414,0.18368275260062,1990,"BBRKC"
"17",0.128148353755029,0.231543060494693,0.268094173540524,0.194991947448861,1991,"BBRKC"
"18",0.0902380435412741,0.179487454614449,0.20311581616578,0.155859093063119,1992,"BBRKC"
"19",0.107703676200584,0.216944670782664,0.239438720104525,0.194450621460803,1993,"BBRKC"
"20",0.101783366683332,0.184348660758653,0.208352625327187,0.160344696190118,1994,"BBRKC"
"21",0.0945779586919701,0.157478587200825,0.18600092820335,0.1289562461983,1995,"BBRKC"
"22",0.114552400781677,0.283665491644196,0.32667347668463,0.240657506603763,1996,"BBRKC"
"23",0.218442847502516,0.222159788088782,0.251600085699544,0.192719490478019,1997,"BBRKC"
"24",0.341781937116495,0.225114887490917,0.255700285439097,0.194529489542738,1998,"BBRKC"
"25",0.219196686368924,0.160915231569544,0.20233596180522,0.119494501333867,1999,"BBRKC"
"26",0.100533077972186,0.183151424523697,0.206087035574324,0.160215813473069,2000,"BBRKC"
"27",0.0520880871699573,0.258656710151396,0.287232623157632,0.230080797145159,2001,"BBRKC"
"28",0.0481767279245947,0.215081990987677,0.241862840752737,0.188301141222616,2002,"BBRKC"
"29",0.0636538008470343,0.356476825464609,0.389614799201511,0.323338851727707,2003,"BBRKC"
"30",0.144794082618711,0.334063843380143,0.368929758462765,0.299197928297522,2004,"BBRKC"
"31",0.423619934531836,0.411627450023962,0.455824455436679,0.367430444611245,2005,"BBRKC"
"32",0.344636345695175,0.213206742233505,0.238599058174421,0.187814426292588,2006,"BBRKC"
"33",0.347595819253909,0.236438567099132,0.261133934345646,0.211743199852618,2007,"BBRKC"
"34",0.285814109723101,0.201387359260804,0.223342362015831,0.179432356505777,2008,"BBRKC"
"35",0.109430381325991,0.201303093237696,0.228842412724171,0.17376377375122,2009,"BBRKC"
"36",0.0679428067208245,0.20504208586958,0.235506931949021,0.174577239790138,2010,"BBRKC"
"37",0.0733686748312945,0.313261719227541,0.393968121738661,0.232555316716422,2011,"BBRKC"
"38",0.0731500567166944,0.144433356571337,0.173525102004613,0.115341611138061,2012,"BBRKC"
"39",0.0900502492937614,0.225901994106534,0.268070536541717,0.183733451671351,2013,"BBRKC"
"40",0.285906947854227,0.301583386651205,0.330503382706981,0.272663390595429,2014,"BBRKC"
"41",0.458464686257562,0.393622371807463,0.436075936654861,0.351168806960065,2015,"BBRKC"
"42",0.426376487828083,0.454984941985329,0.526765719649164,0.383204164321495,2016,"BBRKC"
"43",0.366019447940238,0.306711625875665,0.357162438435505,0.256260813315824,2017,"BBRKC"
"44",0.410010182083539,0.422927145658152,0.483278281158947,0.362576010157358,2018,"BBRKC"
"45",0.576217107126621,0.483492723123383,0.540069099176208,0.426916347070558,2019,"BBRKC"
"47",0.541968811488601,0.284055825261453,0.311431207366889,0.256680443156017,2021,"BBRKC"
"48",0.106489327630361,0.234368784629242,0.267712175126755,0.201025394131729,2022,"BBRKC"
"5",0.294659772230947,0.312768556920765,0.338665626633249,0.286871487208281,1980,"PIRKC"
"61",0.410248489828572,0.368499752499588,0.402271841685757,0.334727663313419,1981,"PIRKC"
"71",0.500671957787808,0.356020793072832,0.385252015860852,0.326789570284811,1982,"PIRKC"
"81",0.448961720794489,0.315509059119692,0.345157360017226,0.285860758222157,1983,"PIRKC"
"91",0.282268689980319,0.247498941386579,0.277938254347863,0.217059628425296,1984,"PIRKC"
"101",0.154833813036974,0.24321132008193,0.271172100180077,0.215250539983784,1985,"PIRKC"
"111",0.09746336788705,0.248799310822368,0.273638753416546,0.223959868228191,1986,"PIRKC"
"121",0.0806644517169568,0.24253389262329,0.27020368707489,0.21486409817169,1987,"PIRKC"
"131",0.0893696254456415,0.179892167962293,0.214145326483928,0.145639009440657,1988,"PIRKC"
"141",0.120344565596045,0.250428517400568,0.280149944728782,0.220707090072353,1989,"PIRKC"
"151",0.176020806501431,0.324249970599495,0.360094198415603,0.288405742783386,1990,"PIRKC"
"161",0.248431557937031,0.330461340328805,0.372733502356559,0.288189178301052,1991,"PIRKC"
"171",0.329145495934436,0.321400177888176,0.347103629454205,0.295696726322147,1992,"PIRKC"
"181",0.441185665702446,0.348299405592986,0.380687706134863,0.315911105051109,1993,"PIRKC"
"191",0.56551245507826,0.42822599427684,0.484117255414528,0.372334733139151,1994,"PIRKC"
"201",0.602305835501358,0.433718750035102,0.479394154569364,0.38804334550084,1995,"PIRKC"
"211",0.416697290435396,0.388055540186613,0.418092438819839,0.358018641553388,1996,"PIRKC"
"221",0.31016511008258,0.326833602064782,0.35040208043761,0.303265123691955,1997,"PIRKC"
"231",0.272649645953089,0.292548323770327,0.317464663805566,0.267631983735088,1998,"PIRKC"
"241",0.296858410561785,0.151265917647581,0.176084308879778,0.126447526415384,1999,"PIRKC"
"251",0.338161691594555,0.29772546525495,0.329574464980435,0.265876465529465,2000,"PIRKC"
"261",0.398211966802688,0.262701804762454,0.285121567233484,0.240282042291424,2001,"PIRKC"
